check,file,status,value,detail
missing values by column,training/JPMorgan_Chase/transactions.csv.gz::dst_prev_amount_sum,PASS,0,
missing values by column,training/JPMorgan_Chase/transactions.csv.gz::dst_prev_amount_mean,PASS,0,
column dtype,training/JPMorgan_Chase/transactions.csv.gz::txn_id,PASS,int64,
column dtype,training/JPMorgan_Chase/transactions.csv.gz::timestamp,PASS,str,
column dtype,training/JPMorgan_Chase/transactions.csv.gz::Transaction_Date,PASS,str,
column dtype,training/JPMorgan_Chase/transactions.csv.gz::Transaction_Time,PASS,str,
column dtype,training/JPMorgan_Chase/transactions.csv.gz::src_id,PASS,int64,
column dtype,training/JPMorgan_Chase/transactions.csv.gz::dst_id,PASS,int64,
column dtype,training/JPMorgan_Chase/transactions.csv.gz::src_bank_id,PASS,str,
column dtype,training/JPMorgan_Chase/transactions.csv.gz::dst_bank_id,PASS,str,
column dtype,training/JPMorgan_Chase/transactions.csv.gz::Transaction_Day_of_Week,PASS,str,
column dtype,training/JPMorgan_Chase/transactions.csv.gz::amount,PASS,float64,
column dtype,training/JPMorgan_Chase/transactions.csv.gz::currency,PASS,str,
column dtype,training/JPMorgan_Chase/transactions.csv.gz::Amount_Received,PASS,float64,
column dtype,training/JPMorgan_Chase/transactions.csv.gz::Receiving_Currency,PASS,str,
column dtype,training/JPMorgan_Chase/transactions.csv.gz::payment_format,PASS,str,
column dtype,training/JPMorgan_Chase/transactions.csv.gz::From_Initial_Balance,PASS,float64,
column dtype,training/JPMorgan_Chase/transactions.csv.gz::To_Initial_Balance,PASS,float64,
column dtype,training/JPMorgan_Chase/transactions.csv.gz::Sufficient_Funds,PASS,int64,
column dtype,training/JPMorgan_Chase/transactions.csv.gz::Overdraft_Okay,PASS,int64,
column dtype,training/JPMorgan_Chase/transactions.csv.gz::Is_All_Cash,PASS,int64,
column dtype,training/JPMorgan_Chase/transactions.csv.gz::Is_Hold,PASS,int64,
column dtype,training/JPMorgan_Chase/transactions.csv.gz::transaction_type_model_safe,PASS,str,
column dtype,training/JPMorgan_Chase/transactions.csv.gz::src_prev_txn_count,PASS,int64,
column dtype,training/JPMorgan_Chase/transactions.csv.gz::src_prev_amount_sum,PASS,float64,
column dtype,training/JPMorgan_Chase/transactions.csv.gz::src_prev_amount_mean,PASS,float64,
column dtype,training/JPMorgan_Chase/transactions.csv.gz::dst_prev_txn_count,PASS,int64,
column dtype,training/JPMorgan_Chase/transactions.csv.gz::dst_prev_amount_sum,PASS,float64,
column dtype,training/JPMorgan_Chase/transactions.csv.gz::dst_prev_amount_mean,PASS,float64,
row count,training/JPMorgan_Chase/ground_truth.csv.gz,PASS,126423,
duplicate rows,training/JPMorgan_Chase/ground_truth.csv.gz,PASS,0,
missing values by column,training/JPMorgan_Chase/ground_truth.csv.gz::txn_id,PASS,0,
missing values by column,training/JPMorgan_Chase/ground_truth.csv.gz::timestamp,PASS,0,
missing values by column,training/JPMorgan_Chase/ground_truth.csv.gz::split,PASS,0,
missing values by column,training/JPMorgan_Chase/ground_truth.csv.gz::y,PASS,0,
column dtype,training/JPMorgan_Chase/ground_truth.csv.gz::txn_id,PASS,int64,
column dtype,training/JPMorgan_Chase/ground_truth.csv.gz::timestamp,PASS,str,
column dtype,training/JPMorgan_Chase/ground_truth.csv.gz::split,PASS,str,
column dtype,training/JPMorgan_Chase/ground_truth.csv.gz::y,PASS,int64,
row count,training/JPMorgan_Chase/edge_list.csv.gz,PASS,126423,
duplicate rows,training/JPMorgan_Chase/edge_list.csv.gz,PASS,0,
missing values by column,training/JPMorgan_Chase/edge_list.csv.gz::txn_id,PASS,0,
missing values by column,training/JPMorgan_Chase/edge_list.csv.gz::src_node,PASS,0,
missing values by column,training/JPMorgan_Chase/edge_list.csv.gz::dst_node,PASS,0,
missing values by column,training/JPMorgan_Chase/edge_list.csv.gz::timestamp,PASS,0,
missing values by column,training/JPMorgan_Chase/edge_list.csv.gz::amount,PASS,0,
missing values by column,training/JPMorgan_Chase/edge_list.csv.gz::currency,PASS,0,
missing values by column,training/JPMorgan_Chase/edge_list.csv.gz::Amount_Received,PASS,0,
missing values by column,training/JPMorgan_Chase/edge_list.csv.gz::Receiving_Currency,PASS,0,
missing values by column,training/JPMorgan_Chase/edge_list.csv.gz::payment_format,PASS,0,
missing values by column,training/JPMorgan_Chase/edge_list.csv.gz::transaction_type_model_safe,PASS,0,
column dtype,training/JPMorgan_Chase/edge_list.csv.gz::txn_id,PASS,int64,
column dtype,training/JPMorgan_Chase/edge_list.csv.gz::src_node,PASS,int64,
column dtype,training/JPMorgan_Chase/edge_list.csv.gz::dst_node,PASS,int64,
column dtype,training/JPMorgan_Chase/edge_list.csv.gz::timestamp,PASS,str,
column dtype,training/JPMorgan_Chase/edge_list.csv.gz::amount,PASS,float64,
column dtype,training/JPMorgan_Chase/edge_list.csv.gz::currency,PASS,str,
column dtype,training/JPMorgan_Chase/edge_list.csv.gz::Amount_Received,PASS,float64,
column dtype,training/JPMorgan_Chase/edge_list.csv.gz::Receiving_Currency,PASS,str,
column dtype,training/JPMorgan_Chase/edge_list.csv.gz::payment_format,PASS,str,
column dtype,training/JPMorgan_Chase/edge_list.csv.gz::transaction_type_model_safe,PASS,str,
row count,training/JPMorgan_Chase/node_map.csv.gz,PASS,24906,
duplicate rows,training/JPMorgan_Chase/node_map.csv.gz,PASS,0,
missing values by column,training/JPMorgan_Chase/node_map.csv.gz::account_id,PASS,0,
missing values by column,training/JPMorgan_Chase/node_map.csv.gz::node_id,PASS,0,
column dtype,training/JPMorgan_Chase/node_map.csv.gz::account_id,PASS,int64,
column dtype,training/JPMorgan_Chase/node_map.csv.gz::node_id,PASS,int64,
row count,training/JPMorgan_Chase/node_features.csv.gz,PASS,24906,
duplicate rows,training/JPMorgan_Chase/node_features.csv.gz,PASS,0,
missing values by column,training/JPMorgan_Chase/node_features.csv.gz::node_id,PASS,0,
missing values by column,training/JPMorgan_Chase/node_features.csv.gz::Account_Country,PASS,0,
missing values by column,training/JPMorgan_Chase/node_features.csv.gz::Account_Currency,PASS,0,
missing values by column,training/JPMorgan_Chase/node_features.csv.gz::Entity_Type,PASS,0,
missing values by column,training/JPMorgan_Chase/node_features.csv.gz::Does_Account_Have_Debit_Card,PASS,0,
missing values by column,training/JPMorgan_Chase/node_features.csv.gz::DebitCard_Index_in_EntityCards,PASS,0,
missing values by column,training/JPMorgan_Chase/node_features.csv.gz::MCC,PASS,0,
missing values by column,training/JPMorgan_Chase/node_features.csv.gz::Account_Type,PASS,0,
missing values by column,training/JPMorgan_Chase/node_features.csv.gz::Max_Overdraft,PASS,0,
missing values by column,training/JPMorgan_Chase/node_features.csv.gz::account_kind,PASS,0,
missing values by column,training/JPMorgan_Chase/node_features.csv.gz::hist_sent_count,PASS,0,
missing values by column,training/JPMorgan_Chase/node_features.csv.gz::hist_sent_amount_sum,PASS,0,
missing values by column,training/JPMorgan_Chase/node_features.csv.gz::hist_recv_count,PASS,0,
missing values by column,training/JPMorgan_Chase/node_features.csv.gz::hist_recv_amount_sum,PASS,0,
missing values by column,training/JPMorgan_Chase/node_features.csv.gz::hist_out_degree,PASS,0,
missing values by column,training/JPMorgan_Chase/node_features.csv.gz::hist_in_degree,PASS,0,
column dtype,training/JPMorgan_Chase/node_features.csv.gz::node_id,PASS,int64,
column dtype,training/JPMorgan_Chase/node_features.csv.gz::Account_Country,PASS,str,
column dtype,training/JPMorgan_Chase/node_features.csv.gz::Account_Currency,PASS,str,
column dtype,training/JPMorgan_Chase/node_features.csv.gz::Entity_Type,PASS,str,
column dtype,training/JPMorgan_Chase/node_features.csv.gz::Does_Account_Have_Debit_Card,PASS,float64,
column dtype,training/JPMorgan_Chase/node_features.csv.gz::DebitCard_Index_in_EntityCards,PASS,float64,
column dtype,training/JPMorgan_Chase/node_features.csv.gz::MCC,PASS,float64,
column dtype,training/JPMorgan_Chase/node_features.csv.gz::Account_Type,PASS,str,
column dtype,training/JPMorgan_Chase/node_features.csv.gz::Max_Overdraft,PASS,float64,
column dtype,training/JPMorgan_Chase/node_features.csv.gz::account_kind,PASS,str,
column dtype,training/JPMorgan_Chase/node_features.csv.gz::hist_sent_count,PASS,int64,
column dtype,training/JPMorgan_Chase/node_features.csv.gz::hist_sent_amount_sum,PASS,int64,
column dtype,training/JPMorgan_Chase/node_features.csv.gz::hist_recv_count,PASS,int64,
column dtype,training/JPMorgan_Chase/node_features.csv.gz::hist_recv_amount_sum,PASS,int64,
column dtype,training/JPMorgan_Chase/node_features.csv.gz::hist_out_degree,PASS,int64,
column dtype,training/JPMorgan_Chase/node_features.csv.gz::hist_in_degree,PASS,int64,
duplicate txn_id values,training/JPMorgan_Chase/transactions.csv.gz,PASS,0,
duplicate txn_id values,training/JPMorgan_Chase/ground_truth.csv.gz,PASS,0,
invalid or unparseable timestamps,training/JPMorgan_Chase/ground_truth.csv.gz,PASS,0,
timestamps outside expected period,training/JPMorgan_Chase/ground_truth.csv.gz,PASS,0,
zero amounts,training/JPMorgan_Chase/transactions.csv.gz,PASS,0,
negative amounts,training/JPMorgan_Chase/transactions.csv.gz,PASS,0,
extreme amount max,training/JPMorgan_Chase/transactions.csv.gz,PASS,10540063.19,
invalid labels,training/JPMorgan_Chase/ground_truth.csv.gz,PASS,0,
class imbalance,training/JPMorgan_Chase/ground_truth.csv.gz,WARNING,"{""0"": 126358, ""1"": 65}",fraud_rate=0.000514
unique source accounts,training/JPMorgan_Chase/transactions.csv.gz,PASS,8366,
unique destination accounts,training/JPMorgan_Chase/transactions.csv.gz,PASS,17895,
unknown account references,training/JPMorgan_Chase,PASS,0,
invalid bank values,training/JPMorgan_Chase/transactions.csv.gz,PASS,1,
inconsistent currencies,training/JPMorgan_Chase/transactions.csv.gz,WARNING,"ARS,CAD,CHF,DOP,EUR,GBP,JPY,KRW,NZD,USD,VND",
constant columns,training/JPMorgan_Chase/transactions.csv.gz::src_bank_id,WARNING,1,
constant columns,training/JPMorgan_Chase/transactions.csv.gz::Overdraft_Okay,WARNING,1,
constant columns,training/JPMorgan_Chase/transactions.csv.gz::Is_All_Cash,WARNING,1,
graph nodes missing from node maps,training/JPMorgan_Chase/edge_list.csv.gz,PASS,0,
duplicate graph edges,training/JPMorgan_Chase/edge_list.csv.gz,PASS,0,
disconnected or isolated nodes,training/JPMorgan_Chase,PASS,0,
graph endpoint node features,training/JPMorgan_Chase,PASS,24906,
transactions match labels,training/JPMorgan_Chase,PASS,0,
core file exists,training/Wells_Fargo/transactions.csv.gz,PASS,True,
core file exists,training/Wells_Fargo/ground_truth.csv.gz,PASS,True,
core file exists,training/Wells_Fargo/edge_list.csv.gz,PASS,True,
core file exists,training/Wells_Fargo/node_map.csv.gz,PASS,True,
core file exists,training/Wells_Fargo/node_features.csv.gz,PASS,True,
row count,training/Wells_Fargo/transactions.csv.gz,PASS,50346,
duplicate rows,training/Wells_Fargo/transactions.csv.gz,PASS,0,
missing values by column,training/Wells_Fargo/transactions.csv.gz::txn_id,PASS,0,
missing values by column,training/Wells_Fargo/transactions.csv.gz::timestamp,PASS,0,
missing values by column,training/Wells_Fargo/transactions.csv.gz::Transaction_Date,PASS,0,
missing values by column,training/Wells_Fargo/transactions.csv.gz::Transaction_Time,PASS,0,
missing values by column,training/Wells_Fargo/transactions.csv.gz::src_id,PASS,0,
missing values by column,training/Wells_Fargo/transactions.csv.gz::dst_id,PASS,0,
missing values by column,training/Wells_Fargo/transactions.csv.gz::src_bank_id,PASS,0,
missing values by column,training/Wells_Fargo/transactions.csv.gz::dst_bank_id,PASS,0,
missing values by column,training/Wells_Fargo/transactions.csv.gz::Transaction_Day_of_Week,PASS,0,
missing values by column,training/Wells_Fargo/transactions.csv.gz::amount,PASS,0,
missing values by column,training/Wells_Fargo/transactions.csv.gz::currency,PASS,0,
missing values by column,training/Wells_Fargo/transactions.csv.gz::Amount_Received,PASS,0,
missing values by column,training/Wells_Fargo/transactions.csv.gz::Receiving_Currency,PASS,0,
missing values by column,training/Wells_Fargo/transactions.csv.gz::payment_format,PASS,0,
missing values by column,training/Wells_Fargo/transactions.csv.gz::From_Initial_Balance,PASS,0,
missing values by column,training/Wells_Fargo/transactions.csv.gz::To_Initial_Balance,PASS,0,
missing values by column,training/Wells_Fargo/transactions.csv.gz::Sufficient_Funds,PASS,0,
missing values by column,training/Wells_Fargo/transactions.csv.gz::Overdraft_Okay,PASS,0,
missing values by column,training/Wells_Fargo/transactions.csv.gz::Is_All_Cash,PASS,0,
missing values by column,training/Wells_Fargo/transactions.csv.gz::Is_Hold,PASS,0,
missing values by column,training/Wells_Fargo/transactions.csv.gz::transaction_type_model_safe,PASS,0,
missing values by column,training/Wells_Fargo/transactions.csv.gz::src_prev_txn_count,PASS,0,
missing values by column,training/Wells_Fargo/transactions.csv.gz::src_prev_amount_sum,PASS,0,
missing values by column,training/Wells_Fargo/transactions.csv.gz::src_prev_amount_mean,PASS,0,
missing values by column,training/Wells_Fargo/transactions.csv.gz::dst_prev_txn_count,PASS,0,
missing values by column,training/Wells_Fargo/transactions.csv.gz::dst_prev_amount_sum,PASS,0,
missing values by column,training/Wells_Fargo/transactions.csv.gz::dst_prev_amount_mean,PASS,0,
column dtype,training/Wells_Fargo/transactions.csv.gz::txn_id,PASS,int64,
column dtype,training/Wells_Fargo/transactions.csv.gz::timestamp,PASS,str,
column dtype,training/Wells_Fargo/transactions.csv.gz::Transaction_Date,PASS,str,
column dtype,training/Wells_Fargo/transactions.csv.gz::Transaction_Time,PASS,str,
column dtype,training/Wells_Fargo/transactions.csv.gz::src_id,PASS,int64,
column dtype,training/Wells_Fargo/transactions.csv.gz::dst_id,PASS,int64,
column dtype,training/Wells_Fargo/transactions.csv.gz::src_bank_id,PASS,str,
column dtype,training/Wells_Fargo/transactions.csv.gz::dst_bank_id,PASS,str,
column dtype,training/Wells_Fargo/transactions.csv.gz::Transaction_Day_of_Week,PASS,str,
column dtype,training/Wells_Fargo/transactions.csv.gz::amount,PASS,float64,
column dtype,training/Wells_Fargo/transactions.csv.gz::currency,PASS,str,
column dtype,training/Wells_Fargo/transactions.csv.gz::Amount_Received,PASS,float64,
column dtype,training/Wells_Fargo/transactions.csv.gz::Receiving_Currency,PASS,str,
column dtype,training/Wells_Fargo/transactions.csv.gz::payment_format,PASS,str,
column dtype,training/Wells_Fargo/transactions.csv.gz::From_Initial_Balance,PASS,float64,
column dtype,training/Wells_Fargo/transactions.csv.gz::To_Initial_Balance,PASS,float64,
column dtype,training/Wells_Fargo/transactions.csv.gz::Sufficient_Funds,PASS,int64,
column dtype,training/Wells_Fargo/transactions.csv.gz::Overdraft_Okay,PASS,int64,
column dtype,training/Wells_Fargo/transactions.csv.gz::Is_All_Cash,PASS,int64,
column dtype,training/Wells_Fargo/transactions.csv.gz::Is_Hold,PASS,int64,
column dtype,training/Wells_Fargo/transactions.csv.gz::transaction_type_model_safe,PASS,str,
column dtype,training/Wells_Fargo/transactions.csv.gz::src_prev_txn_count,PASS,int64,
column dtype,training/Wells_Fargo/transactions.csv.gz::src_prev_amount_sum,PASS,float64,
column dtype,training/Wells_Fargo/transactions.csv.gz::src_prev_amount_mean,PASS,float64,
column dtype,training/Wells_Fargo/transactions.csv.gz::dst_prev_txn_count,PASS,int64,
column dtype,training/Wells_Fargo/transactions.csv.gz::dst_prev_amount_sum,PASS,float64,
column dtype,training/Wells_Fargo/transactions.csv.gz::dst_prev_amount_mean,PASS,float64,
row count,training/Wells_Fargo/ground_truth.csv.gz,PASS,50346,
duplicate rows,training/Wells_Fargo/ground_truth.csv.gz,PASS,0,
missing values by column,training/Wells_Fargo/ground_truth.csv.gz::txn_id,PASS,0,
missing values by column,training/Wells_Fargo/ground_truth.csv.gz::timestamp,PASS,0,
missing values by column,training/Wells_Fargo/ground_truth.csv.gz::split,PASS,0,
missing values by column,training/Wells_Fargo/ground_truth.csv.gz::y,PASS,0,
column dtype,training/Wells_Fargo/ground_truth.csv.gz::txn_id,PASS,int64,
column dtype,training/Wells_Fargo/ground_truth.csv.gz::timestamp,PASS,str,
column dtype,training/Wells_Fargo/ground_truth.csv.gz::split,PASS,str,
column dtype,training/Wells_Fargo/ground_truth.csv.gz::y,PASS,int64,
row count,training/Wells_Fargo/edge_list.csv.gz,PASS,50346,
duplicate rows,training/Wells_Fargo/edge_list.csv.gz,PASS,0,
missing values by column,training/Wells_Fargo/edge_list.csv.gz::txn_id,PASS,0,
missing values by column,training/Wells_Fargo/edge_list.csv.gz::src_node,PASS,0,
missing values by column,training/Wells_Fargo/edge_list.csv.gz::dst_node,PASS,0,
missing values by column,training/Wells_Fargo/edge_list.csv.gz::timestamp,PASS,0,
missing values by column,training/Wells_Fargo/edge_list.csv.gz::amount,PASS,0,
missing values by column,training/Wells_Fargo/edge_list.csv.gz::currency,PASS,0,
missing values by column,training/Wells_Fargo/edge_list.csv.gz::Amount_Received,PASS,0,
missing values by column,training/Wells_Fargo/edge_list.csv.gz::Receiving_Currency,PASS,0,
missing values by column,training/Wells_Fargo/edge_list.csv.gz::payment_format,PASS,0,
missing values by column,training/Wells_Fargo/edge_list.csv.gz::transaction_type_model_safe,PASS,0,
column dtype,training/Wells_Fargo/edge_list.csv.gz::txn_id,PASS,int64,
column dtype,training/Wells_Fargo/edge_list.csv.gz::src_node,PASS,int64,
column dtype,training/Wells_Fargo/edge_list.csv.gz::dst_node,PASS,int64,
column dtype,training/Wells_Fargo/edge_list.csv.gz::timestamp,PASS,str,
column dtype,training/Wells_Fargo/edge_list.csv.gz::amount,PASS,float64,
column dtype,training/Wells_Fargo/edge_list.csv.gz::currency,PASS,str,
column dtype,training/Wells_Fargo/edge_list.csv.gz::Amount_Received,PASS,float64,
column dtype,training/Wells_Fargo/edge_list.csv.gz::Receiving_Currency,PASS,str,
column dtype,training/Wells_Fargo/edge_list.csv.gz::payment_format,PASS,str,
column dtype,training/Wells_Fargo/edge_list.csv.gz::transaction_type_model_safe,PASS,str,
row count,training/Wells_Fargo/node_map.csv.gz,PASS,11292,
duplicate rows,training/Wells_Fargo/node_map.csv.gz,PASS,0,
missing values by column,training/Wells_Fargo/node_map.csv.gz::account_id,PASS,0,
missing values by column,training/Wells_Fargo/node_map.csv.gz::node_id,PASS,0,
column dtype,training/Wells_Fargo/node_map.csv.gz::account_id,PASS,int64,
column dtype,training/Wells_Fargo/node_map.csv.gz::node_id,PASS,int64,
row count,training/Wells_Fargo/node_features.csv.gz,PASS,11292,
duplicate rows,training/Wells_Fargo/node_features.csv.gz,PASS,0,
missing values by column,training/Wells_Fargo/node_features.csv.gz::node_id,PASS,0,
missing values by column,training/Wells_Fargo/node_features.csv.gz::Account_Country,PASS,0,
missing values by column,training/Wells_Fargo/node_features.csv.gz::Account_Currency,PASS,0,
missing values by column,training/Wells_Fargo/node_features.csv.gz::Entity_Type,PASS,0,
missing values by column,training/Wells_Fargo/node_features.csv.gz::Does_Account_Have_Debit_Card,PASS,0,
missing values by column,training/Wells_Fargo/node_features.csv.gz::DebitCard_Index_in_EntityCards,PASS,0,
missing values by column,training/Wells_Fargo/node_features.csv.gz::MCC,PASS,0,
missing values by column,training/Wells_Fargo/node_features.csv.gz::Account_Type,PASS,0,
missing values by column,training/Wells_Fargo/node_features.csv.gz::Max_Overdraft,PASS,0,
missing values by column,training/Wells_Fargo/node_features.csv.gz::account_kind,PASS,0,
missing values by column,training/Wells_Fargo/node_features.csv.gz::hist_sent_count,PASS,0,
missing values by column,training/Wells_Fargo/node_features.csv.gz::hist_sent_amount_sum,PASS,0,
missing values by column,training/Wells_Fargo/node_features.csv.gz::hist_recv_count,PASS,0,
missing values by column,training/Wells_Fargo/node_features.csv.gz::hist_recv_amount_sum,PASS,0,
missing values by column,training/Wells_Fargo/node_features.csv.gz::hist_out_degree,PASS,0,
missing values by column,training/Wells_Fargo/node_features.csv.gz::hist_in_degree,PASS,0,
column dtype,training/Wells_Fargo/node_features.csv.gz::node_id,PASS,int64,
column dtype,training/Wells_Fargo/node_features.csv.gz::Account_Country,PASS,str,
column dtype,training/Wells_Fargo/node_features.csv.gz::Account_Currency,PASS,str,
column dtype,training/Wells_Fargo/node_features.csv.gz::Entity_Type,PASS,str,
column dtype,training/Wells_Fargo/node_features.csv.gz::Does_Account_Have_Debit_Card,PASS,float64,
column dtype,training/Wells_Fargo/node_features.csv.gz::DebitCard_Index_in_EntityCards,PASS,float64,
column dtype,training/Wells_Fargo/node_features.csv.gz::MCC,PASS,float64,
column dtype,training/Wells_Fargo/node_features.csv.gz::Account_Type,PASS,str,
column dtype,training/Wells_Fargo/node_features.csv.gz::Max_Overdraft,PASS,float64,
column dtype,training/Wells_Fargo/node_features.csv.gz::account_kind,PASS,str,
column dtype,training/Wells_Fargo/node_features.csv.gz::hist_sent_count,PASS,int64,
column dtype,training/Wells_Fargo/node_features.csv.gz::hist_sent_amount_sum,PASS,int64,
column dtype,training/Wells_Fargo/node_features.csv.gz::hist_recv_count,PASS,int64,
column dtype,training/Wells_Fargo/node_features.csv.gz::hist_recv_amount_sum,PASS,int64,
column dtype,training/Wells_Fargo/node_features.csv.gz::hist_out_degree,PASS,int64,
column dtype,training/Wells_Fargo/node_features.csv.gz::hist_in_degree,PASS,int64,
duplicate txn_id values,training/Wells_Fargo/transactions.csv.gz,PASS,0,
duplicate txn_id values,training/Wells_Fargo/ground_truth.csv.gz,PASS,0,
invalid or unparseable timestamps,training/Wells_Fargo/ground_truth.csv.gz,PASS,0,
timestamps outside expected period,training/Wells_Fargo/ground_truth.csv.gz,PASS,0,
zero amounts,training/Wells_Fargo/transactions.csv.gz,PASS,0,
negative amounts,training/Wells_Fargo/transactions.csv.gz,PASS,0,
extreme amount max,training/Wells_Fargo/transactions.csv.gz,PASS,3134976.03,
invalid labels,training/Wells_Fargo/ground_truth.csv.gz,PASS,0,
class imbalance,training/Wells_Fargo/ground_truth.csv.gz,WARNING,"{""0"": 50266, ""1"": 80}",fraud_rate=0.001589
unique source accounts,training/Wells_Fargo/transactions.csv.gz,PASS,4184,
unique destination accounts,training/Wells_Fargo/transactions.csv.gz,PASS,7447,
unknown account references,training/Wells_Fargo,PASS,0,
invalid bank values,training/Wells_Fargo/transactions.csv.gz,PASS,1,
inconsistent currencies,training/Wells_Fargo/transactions.csv.gz,WARNING,"CNY,USD",
constant columns,training/Wells_Fargo/transactions.csv.gz::src_bank_id,WARNING,1,
constant columns,training/Wells_Fargo/transactions.csv.gz::currency,WARNING,1,
constant columns,training/Wells_Fargo/transactions.csv.gz::Sufficient_Funds,WARNING,1,
constant columns,training/Wells_Fargo/transactions.csv.gz::Overdraft_Okay,WARNING,1,
constant columns,training/Wells_Fargo/transactions.csv.gz::Is_All_Cash,WARNING,1,
graph nodes missing from node maps,training/Wells_Fargo/edge_list.csv.gz,PASS,0,
duplicate graph edges,training/Wells_Fargo/edge_list.csv.gz,PASS,0,
disconnected or isolated nodes,training/Wells_Fargo,PASS,0,
graph endpoint node features,training/Wells_Fargo,PASS,11292,
transactions match labels,training/Wells_Fargo,PASS,0,
core file exists,training/Citi/transactions.csv.gz,PASS,True,
core file exists,training/Citi/ground_truth.csv.gz,PASS,True,
core file exists,training/Citi/edge_list.csv.gz,PASS,True,
core file exists,training/Citi/node_map.csv.gz,PASS,True,
core file exists,training/Citi/node_features.csv.gz,PASS,True,
row count,training/Citi/transactions.csv.gz,PASS,37316,
duplicate rows,training/Citi/transactions.csv.gz,PASS,0,
missing values by column,training/Citi/transactions.csv.gz::txn_id,PASS,0,
missing values by column,training/Citi/transactions.csv.gz::timestamp,PASS,0,
missing values by column,training/Citi/transactions.csv.gz::Transaction_Date,PASS,0,
missing values by column,training/Citi/transactions.csv.gz::Transaction_Time,PASS,0,
missing values by column,training/Citi/transactions.csv.gz::src_id,PASS,0,
missing values by column,training/Citi/transactions.csv.gz::dst_id,PASS,0,
missing values by column,training/Citi/transactions.csv.gz::src_bank_id,PASS,0,
missing values by column,training/Citi/transactions.csv.gz::dst_bank_id,PASS,0,
missing values by column,training/Citi/transactions.csv.gz::Transaction_Day_of_Week,PASS,0,
missing values by column,training/Citi/transactions.csv.gz::amount,PASS,0,
missing values by column,training/Citi/transactions.csv.gz::currency,PASS,0,
missing values by column,training/Citi/transactions.csv.gz::Amount_Received,PASS,0,
missing values by column,training/Citi/transactions.csv.gz::Receiving_Currency,PASS,0,
missing values by column,training/Citi/transactions.csv.gz::payment_format,PASS,0,
missing values by column,training/Citi/transactions.csv.gz::From_Initial_Balance,PASS,0,
missing values by column,training/Citi/transactions.csv.gz::To_Initial_Balance,PASS,0,
missing values by column,training/Citi/transactions.csv.gz::Sufficient_Funds,PASS,0,
missing values by column,training/Citi/transactions.csv.gz::Overdraft_Okay,PASS,0,
missing values by column,training/Citi/transactions.csv.gz::Is_All_Cash,PASS,0,
missing values by column,training/Citi/transactions.csv.gz::Is_Hold,PASS,0,
missing values by column,training/Citi/transactions.csv.gz::transaction_type_model_safe,PASS,0,
missing values by column,training/Citi/transactions.csv.gz::src_prev_txn_count,PASS,0,
missing values by column,training/Citi/transactions.csv.gz::src_prev_amount_sum,PASS,0,
